2026-05-29T10:42:25-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=3 | empresasSelecionadas=2,15,1
2026-05-29T10:44:55-03:00 | GERAL PATH: ./arquivos/endossos/2026-05 | busca_data=2026-05 | empresaSelecionadas=1
2026-05-29T10:44:56-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=1
2026-05-29T10:45:04-03:00 | GERAL PATH: ./arquivos/endossos/2026-05 | busca_data=2026-05 | empresaSelecionadas=2
2026-05-29T10:45:04-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=2
2026-05-29T10:45:15-03:00 | GERAL PATH: ./arquivos/endossos/2026-04 | busca_data=2026-04 | empresaSelecionadas=2
2026-05-29T10:45:15-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=2
2026-05-29T10:47:45-03:00 | GERAL PATH: ./arquivos/endossos/2026-05 | busca_data=2026-05 | empresaSelecionadas=1
2026-05-29T10:47:45-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=1
2026-05-29T10:47:54-03:00 | GERAL PATH: ./arquivos/endossos/2026-04 | busca_data=2026-04 | empresaSelecionadas=2
2026-05-29T10:47:54-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=2
2026-05-29T10:47:58-03:00 | GERAL PATH: ./arquivos/endossos/2026-04 | busca_data=2026-04 | empresaSelecionadas=2
2026-05-29T10:47:58-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=2
2026-05-29T10:48:01-03:00 | DETALHE PATH: ./arquivos/endossos/2026-04/2 | busca_data=2026-04 | empresa=2
2026-05-29T10:48:01-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=0 | empresasSelecionadas=2
2026-05-29T10:49:19-03:00 | GERAL PATH: ./arquivos/endossos/2026-05 | busca_data=2026-05 | empresaSelecionadas=1
2026-05-29T10:49:19-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=1
2026-05-29T10:49:27-03:00 | GERAL PATH: ./arquivos/endossos/2026-04 | busca_data=2026-04 | empresaSelecionadas=2
2026-05-29T10:49:27-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=2
2026-05-29T10:49:30-03:00 | GERAL PATH: ./arquivos/endossos/2026-04 | busca_data=2026-04 | empresaSelecionadas=2
2026-05-29T10:49:30-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=2
2026-05-29T10:52:25-03:00 | GERAL PATH: ./arquivos/endossos/2026-04 | busca_data=2026-04 | empresaSelecionadas=2
2026-05-29T10:52:25-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=2
2026-05-29T10:52:31-03:00 | GERAL PATH: ./arquivos/endossos/2026-05 | busca_data=2026-05 | empresaSelecionadas=1
2026-05-29T10:52:31-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=1
2026-05-29T10:52:38-03:00 | GERAL PATH: ./arquivos/endossos/2026-04 | busca_data=2026-04 | empresaSelecionadas=2
2026-05-29T10:52:38-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=2
2026-05-29T10:52:45-03:00 | GERAL PATH: ./arquivos/endossos/2026-04 | busca_data=2026-04 | empresaSelecionadas=2
2026-05-29T10:52:45-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=2
